FlightNumber,Date,BoosterVersion,PayloadMass,Orbit,LaunchSite,Outcome,Flights,GridFins,Reused,Legs,LandingPad,Block,ReusedCount,Serial,Longitude,Latitude,Class
1,2010-06-04,Falcon 9,6104.959412,LEO,CCAFS SLC 40,None None,1,False,False,False,,1.0,0,B0003,-80.577366,28.561857,0
2,2012-05-22,Falcon 9,525.0,LEO,CCAFS SLC 40,None None,1,False,False,False,,1.0,0,B0005,-80.577366,28.561857,0
3,2013-03-01,Falcon 9,677.0,ISS,CCAFS SLC 40,None None,1,False,False,False,,1.0,0,B0007,-80.577366,28.561857,0
4,2013-09-29,Falcon 9,500.0,PO,VAFB SLC 4E,False Ocean,1,False,False,False,,1.0,0,B1003,-120.610829,34.632093,0
5,2013-12-03,Falcon 9,3170.0,GTO,CCAFS SLC 40,None None,1,False,False,False,,1.0,0,B1004,-80.577366,28.561857,0
6,2014-01-06,Falcon 9,3325.0,GTO,CCAFS SLC 40,False Ocean,1,True,False,True,,1.0,0,B1005,-80.577366,28.561857,0
7,2014-04-18,Falcon 9,2216.0,ISS,CCAFS SLC 40,True RTLS,1,True,False,True,LZ-1,2.0,0,B1010,-80.577366,28.561857,1
8,2014-09-21,Falcon 9,4600.0,LEO,CCAFS SLC 40,True RTLS,1,True,False,True,LZ-1,2.0,0,B1011,-80.577366,28.561857,1
9,2015-02-11,Falcon 9,5700.0,ISS,CCAFS SLC 40,True ASDS,2,True,True,True,ASDS-1,3.0,1,B1015,-80.577366,28.561857,1
10,2015-06-28,Falcon 9,1898.0,ISS,CCAFS SLC 40,False ASDS,1,True,False,True,ASDS-1,2.0,0,B1018,-80.577366,28.561857,0
11,2015-12-22,Falcon 9 FT,2034.0,LEO,CCAFS SLC 40,True RTLS,1,True,False,True,LZ-1,3.0,0,B1019,-80.577366,28.561857,1
12,2016-01-17,Falcon 9 FT,553.0,PO,VAFB SLC 4E,True ASDS,1,True,False,True,ASDS-2,3.0,0,B1020,-120.610829,34.632093,1
13,2016-05-06,Falcon 9 FT,3136.0,GTO,CCAFS SLC 40,True ASDS,1,True,False,True,ASDS-1,3.0,0,B1021,-80.577366,28.561857,1
14,2016-08-14,Falcon 9 FT,2490.0,GTO,KSC LC 39A,False ASDS,1,True,False,True,ASDS-1,4.0,0,B1022,-80.603956,28.608058,0
15,2017-02-19,Falcon 9 FT,2490.0,GTO,KSC LC 39A,True ASDS,1,True,False,True,ASDS-1,4.0,0,B1031,-80.603956,28.608058,1
16,2017-06-23,Falcon 9 FT,9600.0,ISS,KSC LC 39A,True RTLS,2,True,True,True,LZ-1,4.0,1,B1035,-80.603956,28.608058,1
17,2018-02-22,Falcon 9 FT,12300.0,LEO,KSC LC 39A,True ASDS,2,True,True,True,ASDS-3,5.0,1,B1041,-80.603956,28.608058,1
18,2018-10-07,Falcon 9 B5,7060.0,SSO,VAFB SLC 4E,True ASDS,1,True,False,True,ASDS-2,5.0,0,B1048,-120.610829,34.632093,1
19,2019-04-11,Falcon 9 B5,12055.0,ISS,CCAFS SLC 40,True ASDS,3,True,True,True,ASDS-3,5.0,2,B1051,-80.577366,28.561857,1
20,2019-11-11,Falcon 9 B5,15600.0,LEO,KSC LC 39A,True RTLS,4,True,True,True,LZ-1,5.0,3,B1056,-80.603956,28.608058,1
21,2020-01-07,Falcon 9 B5,7000.0,ES-L1,CCAFS SLC 40,True ASDS,2,True,True,True,ASDS-3,5.0,1,B1058,-80.577366,28.561857,1
22,2020-06-30,Falcon 9 B5,6400.0,GEO,CCAFS SLC 40,True ASDS,2,True,True,True,ASDS-3,5.0,1,B1059,-80.577366,28.561857,1
23,2020-11-21,Falcon 9 B5,3681.0,MEO,CCAFS SLC 40,True ASDS,2,True,True,True,ASDS-3,5.0,1,B1060,-80.577366,28.561857,1
24,2020-12-19,Falcon 9 B5,15000.0,Polar,VAFB SLC 4E,True ASDS,1,True,False,True,ASDS-2,5.0,0,B1062,-120.610829,34.632093,1
